title,abstract,division,department
Van_Zijl_2025_Modelling_the_mechanisms,"Healthy cerebral blood flow (CBF) control is vital to maintain sufficient oxygenperfusion to brain tissue and prevent brain damage. CBF is therefore controlled by,amongst others, two main global mechanisms: dynamic cerebral autoregulation (dCA),that responds to changes in arterial blood pressure (ABP) to keep steady state CBF nearconstant, and dynamic cerebrovascular reactivity (dCVR) that responds to vasoactivesubstances such as CO2. However, CBF control is impaired in a range of cerebrovasculardiseases, including stroke and dementia, and treatments are limited by the lack ofunderstanding of the underlying mechanisms of dCA and dCVR.This thesis investigated the mechanisms that govern dCA and dCVR bycombining physiological modelling with time series analysis under differentphysiological conditions. Simple physiological models of the CBF mechanisms weredeveloped and model parameters were optimised with experimentally-derived impulseresponses (IRs). dCA was investigated by representing its myogenic and metabolicresponses each by a gain and time constant in a physiological model, to disentangle theircontributions. Parameters were optimised with a dataset where CBF was represented bycerebral blood velocity (CBv) measured with transcranial Doppler ultrasonography(TCD) under different physiological conditions, where normocapnia and thigh cuffconditions represented intact dCA and hypercapnia represented impaired dCA. Both themyogenic and metabolic responses were found to be impaired (p-values < 0.001) and themetabolic response to be specifically slowed down (p-values < 0.001) in hypercapnia.dCVR was investigated by representing the vasculature’s response to changes inCO2 by a gain and two time constants in a physiological model. The model produced theCO2-flow IR shape most commonly reported in previous data-driven literature, animprovement on models that include the effects of CO2 with only one time constant.Model parameters were optimised with the TCD dataset under normocapnia andhypercapnia, and one dCVR time constant was found to be significantly affected byphysiological condition (p-values < 0.001, except one analysis where p-value < 0.05),becoming smaller in hypercapnia compared to normocapnia. Potential sex-specific effectson the gain (p-value < 0.05) and time constants (p-values < 0.001) were also found. ThedCVR model was expanded for use with a dataset where CBF was represented by blood-oxygen-level-data (BOLD) measured with functional magnetic resonance imagining(fMRI). A group comparison was performed between postpartum women and controls butsignificant differences were not found in the brain regions investigated in this thesis.Brain region was, however, found to significantly affect all model parameters(p-values < 0.001), highlighting the spatial heterogeneity of dCVR and motivatingapplication of the dCVR physiological model with BOLD-fMRI data.The results of this thesis contribute to the understanding of the complexities ofdCA and dCVR and how they are affected under different physiological conditions. FordCA, specific mechanisms could be investigated, and for dCVR, a first link between thegrowing body of data-driven dCVR studies and its underlying physiology was presented,using both TCD data, as is typical for the dCA community, and BOLD-fMRI data, whichis typical for the dCVR community.",MPLS,Engineering Science
Rhee_2025_Frazil_ice_crystal,"Frazil ice crystals are small, often disk-shaped, millimetre sized crystals that formin supercooled turbulent water. Frazil ice crystals are found in rivers, lakes andthe sea. Despite their small size, frazil ice crystals have significant impacts oninfrastructure and the climate, in particular through the role frazil ice formationplays in the water transformation processes in coastal polynyas. The processesgoverning the evolution of a frazil ice crystal population are complex. One of theseprocesses is collisions between frazil ice crystals. It is hypothesised that this processcan result in crystal fracture, and is responsible for the rapid increase in the numberof frazil ice crystals that has been observed in experiments. Despite its significance,many uncertainties remain about how to parametrise crystal collisions and manykey physical processes are unaccounted for. In this thesis we include some of theseprocesses into a model for frazil ice crystal collisions.Typical models assume that the crystal collision rate can be determined bycalculating the number of crystals each frazil ice crystal meets per second as it movesthrough a fluid. The other crystals are assumed to be stationary and point-like. Wedevelop a model for crystal collisions that accounts for the velocity and finite size ofboth crystals and better accounts for the cylindrical shape of the crystals. We derivea new method to distribute fractured particles into the crystal population whichbetter accounts for the size difference between the fractured crystal and the originalcrystal. We also use the lubrication approximation to calculate the hydrodynamicforces on 2D plates and 3D crystals as they approach and find a critical velocity forcollision when the crystals approach close to parallel. We also obtain the conditionsfor fracture of 2D plates by elastic bending.Including these non-hydrodynamic processes leads to a large increase in thecollision rate and a decrease in the mean radius of the crystal population whencompared to a typical frazil ice model. Hydrodynamic effects act to reduce thenumber of collisions. However, there are still discrepancies between our model andexperimental results. We hypothesise a main cause of these differences is fromneglecting flocculation and assuming that collisions always introduce crystals ofthe smallest size class. This suggests that future models could be improved byfocussing on understanding these processes.",MPLS,Physics
Mangas_Araujo_2025_Micromechanical_modelling_of,"Many soft materials consist of rubbery networks of polymer chains held together by crosslinks.These materials can undergo large elastic deformations, making them attractive to engineer-ing, biomedical and consumer applications. Their mechanical response is intimately linked tothe architecture of the underlying network. Consequently, understanding and predicting theirbehaviour requires models that account for their microstructure. This thesis contributes tothis goal through the development of a comprehensive micromechanical modelling frameworkthat combines discrete network (DN) simulations with continuum theories, enabling systematicinvestigations of elasticity, failure, and chemical degradation in rubber-like materials. In elas-ticity, we use DN simulations to link network structure to macroscopic mechanical properties,identifying the distribution of initial chain end-to-end distances as a key factor. Using DNresults as a reference, we further show that many of the underlying assumptions of contin-uum micromechanics models do not hold. In modelling failure, the DN model augmented withdeterministic chain scission reveals that damage is a localised process significantly impactedby local microstructural heterogeneities. Our results also show that classical semi-analyticalestimates cannot predict failure in DNs. In chemical degradation, our DN model combinedwith stochastic chain scission shows that force-biased chain cleavage accelerates degradation, afeature captured by the continuum model we proposed. However, DN simulations reveal addi-tional effects that cannot be reproduced by the continuum model, such as anisotropic damageand more severe deterioration of elastic properties as scissions become increasingly force-biased.Altogether, this thesis gives fresh insights into the mechanics of rubbery networks, importantfor the development of constitutive theories with improved predictive capabilities.",MPLS,Engineering Science
Birkhoelzer_2025_Investigation_of_skeletal,"Despite advances in treatment, heart failure (HF) remains a leading cause of morbidity andmortality worldwide. This thesis demonstrates the use of magnetic resonance imaging (MRI) andmultinuclear magnetic resonance spectroscopy (31P, 1H, 13C MRS) techniques to examine threestructurally and metabolic different phenotypes of HF: non-ischaemic cardiomyopathy withreduced ejection fraction and iron deficiency (Chapter 3 IRON HEART), metabolic HF withpreserved ejection fraction (Chapter 4 DICE), and pressure overload induced HF (Chapter 5 HYPERHEART). The overarching aim was to characterise myocardial and skeletal muscle energetics in eachphenotype and examine the effect of three targeted interventions – intravenous iron,Ninerafaxstat, and aortic valve intervention, on substrate metabolism, mitochondrial function andfunctional outcomes.Chapter 3 described the first study (IRON HEART) combing cardiac and skeletal muscle energeticassessment following intravenous ferric carboxymaltose in non-ischaemic cardiomyopathy andiron deficiency. Intravenous iron has shown benefits in large trials, reducing symptoms, improvingexercise capacity, and lowering hospitalisation rates, though mechanisms remain unclear. Theresults demonstrated a significant improvement in ejection fraction, exercise capacity, and skeletalmuscle mitochondrial capacity without an improvement in myocardial energetics. These findingssuggest a combined benefit of iron on cardiac and skeletal muscle, warranting larger trials.Chapter 4 (DICE) demonstrates a proof of concept for metabolic modulation in HFpEF and thepotential for cardiac mitotropes to become an additional pillar in the treatment of metabolicHFpEF. The novel mitotrope, Ninerafaxstat, as a partial fatty acid inhibitor, was safe and improvedcardiac energetics by restoring metabolic flexibility. The energetic improvement was linked toincreased exercise capacity and symptoms. It is the first of its kind and might offer potential as atargeted therapy in a phenotype with limited treatment options.Chapter 5 (HYPER HEART) explored the metabolic adaptations before and after pressure unloadingin severe aortic stenosis. The study revealed a dissociation between structural and metabolicrecovery post valve intervention. It highlighted the potential role of multinuclear magneticresonance spectroscopy and imaging to guide timing of valve intervention, in particularly inasymptomatic patients who already display structural remodelling.",MSD,Radcliffe Department of Medicine
Optimising_CRISPR_sgRNA_delivery_strategies_for_the_treatment_of_retinal_diseases,"Gene therapy for inherited retinal diseases (IRDs) has traditionally focussed on geneaugmentation. However, the advent of CRISPR/Cas9 has changed the researchlandscape dramatically. Theoretically able to correct almost any mutation,CRISPR/Cas9 is an attractive tool for IRD therapeutics, many untreatable by geneaugmentation. However, numerous challenges exist for Cas9 delivery to retina. Thisthesis explores non-viral, separate delivery of Cas9 sgRNA as a way to overcomethese limitations.The ability of unpackaged RNA oligonucleotides to enter retina from intravitrealinjection has been shown by chemically modified antisense oligonucleotides (ASOs).Similar modifications applied to Cas9 sgRNA have been used effectively in vitro, andin vivo in liver, but not in the eye. In this thesis I investigate the use of chemicallymodified Cas9 sgRNA as a proof-of-concept for retinal therapeutics. First, Iexamined sgRNA modification pattern and number, and showed that variations canenhance or abrogate EGFP and Cas9 knockdown for SpCas9, SaCas9, and a SpCas9prime editor in vitro in HEKdEGFP cells without toxicity. Next, I examined retinaldistribution and survival of unpackaged sgRNA in vivo using qPCR and directvisualisation of fluorescently-labelled chemically modified sgRNA. This revealed thatintravitreally-injected sgRNA enters the retinal ganglion cell (RGC) layer and survivesfor at least 1 month without toxicity, but is rapidly lost from vitreous, whilesubretinally-injected sgRNA survives in the retina for at least 8 weeks without toxicity.Finally, I examined indel formation in vivo, targeting photoreceptor-level EGFP in theNrl.EGFP mouse with subretinal unpackaged sgRNA and AAV8-GRK1-Cas9, andRGC-level EGFP using intravitreal unpackaged sgRNA in the Cas9EGFP mouse. Thisrevealed that heavily modified SpCas9 sgRNA successfully effects indel formation inRGCs, but not in photoreceptors, perhaps due to sgRNA trapping in outer segmentsor within other retinal cells. As part of this thesis, I also characterised retinal Cas9expression of several transgenic Cas9-expressing mice using Western blot, in vivoimaging, and IHC.",MSD,Clinical Neurosciences
Vacalis_2025_Classical_and_quantum,"This thesis presents methods for producing and detecting gravitational waves(GWs) and particles within or beyond the Standard Model. Chap. 2 andChap. 3 describe axion production from an accelerated electron within theWKB approximation. In Chap. 2, we consider an electron accelerated by atime-dependent external potential and consider two trajectories: uniform ac-celeration and oscillating motion in a standing wave created by two counter-propagating linearly polarized laser beams. We calculate the spectrum andtotal energy of the emitted particles. Chap. 3 generalizes the results ofChap. 2 for an arbitrary electromagnetic field. We find that the rotation ofthe electron spin follows the Thomas-BMT equation. We propose an exper-imental setup for producing axions using laser beams and converting theminto photons to impose bounds on the axion-electron coupling constant. Wefind that the addition of magnetic fields significantly increases particle pro-duction. The projected bounds are similar to other laboratory-based exper-iments for axion masses ma . 10 keV. Chap. 4 discusses the Unruh effect,which is essential to describe radiation from an accelerating charge in its restframe. We couple a classical source to a scalar field and derive the emissionrate and power. The latter agrees with the classical Larmor result for scalarparticles. In Chap. 5, we generalize the results of Chapter Chap. 4 and dis-cuss emission of photons in the context of the Unruh effect. Finally, Chap. 6is dedicated to the production and detection of GWs using high-energy pulsedlasers through the Gertsenshtein effect. Whereas the strain of produced GWsis too weak to be detected, we find that with today’s laser performances, onecould detect GWs of astrophysical origin with strains h & 10−20 and in thefuture, sensitivities of h & 10−26 could be reached.Overall, the thesis examines the plausibility to use high-energy lasers to pro-duce and detect particles of spin 0, 1 and 2 (where for the spin 2 case, weconsider classical GWs instead of gravitons).",MPLS,Physics
Rosen_2025_Exhibiting_wounds_difficult,"Cora Diamond introduced the concept of a ‘difficult reality’ – a reality that disrupts andwounds our capacity for sense-making – in her 2002 essay, “The Difficulty of Reality andthe Difficulty of Philosophy”, in response to misunderstandings of the work of StanleyCavell and J. M. Coetzee. In the decades since, this concept has been employed and projectedinto new contexts in many ways, across the disciplines of philosophy, literary theory andcriticism, theology, and political theory. However, the breadth of its application and thevariety of Diamond’s own examples – from fictional lectures about the horrors of industrialagriculture to poetry about war’s insanity – present challenges for those seeking to make useof the concept.Part I of this thesis, ‘Cora Diamond’s Difficult Realities’, suggests a way to make sense ofthe concept as well as the bewilderment readers can experience in encountering Diamond’sessay. I believe that Diamond is pointing us to significant truths about what it is to be sense-making creatures, whose lives and habits of mind can be injured by realities that thwartcomprehension. Focusing on Diamond’s main examples – a poem about the deaths of sixyoung men in war by Ted Hughes, a novel about our treatment of animals by J. M. Coetzee,and Stanley Cavell’s exploration of skepticism about other minds – I aim to identify thegrammar of a difficult reality, so that we can see how the concept’s later uses shift and extendits meaning. Chapter 1 examines Diamond’s introduction of the concept and identifies fourguidelines for its application. Chapter 2 focuses on the ways in which our modes of sense-making can turn us away from difficult realities, which Diamond describes using theCavellian concept of deflection. And Chapter 3 considers how acknowledgment of theseinjuries to sense-making finds expression in testimony.Part II, ‘Difficult Testimony’, projects the concept of a difficult reality into new contextswhere testimony both resists and solicits sense-making. This not only illuminates thesecontexts but deepens our understanding of Diamond’s concept. Chapter 4 characterizes IrisMurdoch’s Metaphysics as a Guide to Morals as shaped to testify to difficult realities. Thisexplains its baffling architecture and shows the pressure that acknowledgment of difficultrealities can exert on philosophy. Chapter 5 turns to Carys Bray’s recent climate fiction Whenthe Lights Go Out, making the case that it too is shaped to testify to difficult realities and tostage the mutual incomprehension they open onto. This explains its defiance of theexpectations we might have for a work of climate fiction and shows the pressure thatacknowledgment of difficult realities can exert on literature. I describe both books asexemplary instances of testimony to difficult realities: they exhibit the wounds these realitiesinflict on sense-making, ask for our acknowledgment as they provoke misinterpretation, andleave us vulnerable to analogous wounds.In seeing how sufferers of difficult realities testify to their experience by exhibiting theirwounds, we can better understand the difficult realities we and our fellows may confront,how they disclose our inscrutability to each other, and what they reveal about the kind ofanimal we are.",HUMS,Philosophy
Hartinger_2025_Reducing_respiratory_losses,"Enhancing agricultural productivity remains critical for global food security. Whilemany strategies target improved photosynthetic carbon fixation, reducing respira-tory carbon losses has recently emerged as a complementary approach, as sug-gested by comprehensive mapping of plant metabolic networks.This thesis investigates a novel strategy to reduce respiratory carbon losses byrefixing CO2 produced by nocturnal respiration and making it available again forreassimilation into metabolism before it escapes to the atmosphere.Using constraint-based metabolic modelling of central metabolism, I examinedwhether plant metabolic networks possess inherent capacity for nocturnal CO2refixation under carbon-limited conditions. Multiple approaches to induce carbonlimitation in a diel leaf model revealed that CAM cycling emerged as the onlyplant-native pathway allowing substantial recovery of nocturnal respiratory CO2.Despite additional metabolic costs, CAM cycling enhanced growth under carbon-limited conditions in the absence of water stress.To explore alternative nocturnal CO2 refixation strategies, I developed a baselinemodel, which experienced carbon limitation, but was indirectly prevented fromusing CAM cycling. This model was then used to evaluate the potential of a het-erologous CO2-fixing pathway to enhance carbon conversion efficiency and plantgrowth. Integration of the synthetic crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA (CETCH) cycle into the model revealed that its NADPH costs and the limitedcapacity of the plant metabolic network to regenerate NADPH at night substan-tially restricted the cycle’s effectiveness for nocturnal CO2 refixation in plants.Finally, a reinvestigation of a Marchantia-specific model with experimentally de-termined parameters indicated that, contrary to previous modelling results, noc-turnal CO2 refixation through CAM cycling is likely unnecessary for this plant toachieve observed growth rates.This research provides insights into the feasibility of nocturnal respiratory CO2 re-fixation strategies and offers important design considerations for future metabolicengineering approaches.",MPLS,Plant Sciences
Sassarini_2025_Frege_puzzles_in,"Frege puzzles arise in opaque contexts—linguistic contexts in which sentences that differonly in co-referential expressions appear to differ in truth value. These cases challenge theprinciple of compositionality, which holds that the semantic value of a complex expressionis determined by the semantic values of its parts, and thus expressions with the samesemantic value should be freely substitutable without affecting truth value. Propositionalattitude verbs such as “know” and “believe”, as well as explanatory terms like “because”,are taken to generate opacity: both attitude ascription and explanation appear to be sensitivenot only to the referents of the relevant expressions, but also to the manner in which thosereferents are represented.This dissertation examines a range of philosophical problems through the frameworkof Frege puzzles. Chapter 1 discusses verbal disputes; Chapter 2 addresses the KnowledgeArgument against physicalism; Chapter 3 analyses reductive accounts of metaphysicalexplanation. The dissertation aims to show, first, that the semantics of propositional attitudeascriptions plays a central role in these debates, and that the intuitions driving themfrequently arise from the presence of expressions that give rise to apparently opaquecontexts. Second, it argues that potential solutions to the problems in question—includingthe relevant error theories—often amount, in effect, to familiar strategies for resolving Fregepuzzles.By drawing out these connections, the dissertation aims to offer a unifyingframework that brings together seemingly unrelated issues, while providing insights into thescope and significance of Frege puzzles and the conceptual tools involved in theirformulation. More broadly, this dissertation seeks to motivate an anti-exceptionalist stanceto the problems discussed. Recognizing these issues as manifestations of a familiarphenomenon reduces the need for ad hoc theoretical devices tailored to each individual case.",HUMS,Philosophy
Teng_2025_New_machine_identity,"Machine-to-machine communication (M2M) refers to the communication betweenmachines without the active intervention of human users. As the credentials ofa machine that form the machine’s identity are made up of secret information,this brings detrimental effects to the security of M2M communication if thesecrecy of the machine credentials is compromised by an adversary. This thesisstrengthens the security of M2M communication protocols to address the problemsof credential compromise in three different applications of M2M communication:remote access applications using the Secure Shell (SSH) protocol, automateddevelopment workflows within internal organisational networks, and end-to-endencrypted instant messaging applications using the Signal protocol.We improve the SSH protocol to provide a novel detection mechanism againstan adversary that can simultaneously compromise the long-term identity keys ofboth the SSH client and server, offering the detection of the adversary even whenthe adversary can access and compromise the SSH server as root. We additionallypropose a framework as a solution to counter the credential leakage problem inautomated development workflows within internal organisational networks wherecredentials are often hard-coded or embedded into the application source codeor automation scripts, mitigating the implications of a credential leakage to anadversary that compromises the credentials and uses them to access applicationservices in the system. We further propose improvements to the Signal protocol toenhance the key authentication of the protocol with the purpose of providingthe detection of an active Man-in-the-Middle adversary that compromises allsecrets of a communicating client, with our solution built directly into the Signalprotocol without requiring any out-of-band channel or user interaction and withoutintroducing additional parties into the communication system.We provide computationally secure solutions in each of the M2M applicationdomains to facilitiate real-world deployments without requiring specialised machines.We further perform the necessary security analysis to prove our novel securityguarantees while also preserving the existing guarantees of the solutions that ourimprovements build on. Finally, we implement proof-of-concept software for eachof our solutions to demonstrate its practicality.",MPLS,Computer Science
El-Machachi_2025_Investigating_amorphous_graphene,"The atomic-level structure of amorphous solids, which lack long-range order, hasbeen a long-standing challenge at the crossroads between chemistry, physics andmaterials science for over a century. This thesis addresses this fundamental questionby employing state-of-the-art atomistic simulation techniques to investigate topo-logical disorder in two-dimensional carbonaceous materials: graphene and grapheneoxide (GO).A central theme is the application of machine learning interatomic potentials(MLIPs) to explore complex potential energy surfaces that are inaccessible to con-ventional methods. First, a novel approach is introduced where machine-learnedatomic energies are used to drive bond-switching Monte–Carlo simulations. Thismethod successfully navigates the configurational space of graphene, providing fea-sible computational models of both continuous random network and paracrystalline(cybotactic) structures and offering a unique energetic fingerprint to distinguish be-tween them where traditional structural descriptors, such as the radial distributionfunction, fall short.Next, this thesis details the development of a bespoke, highly accurate MLIP forgraphene oxide (GO-MACE-23) using an iterative, on-the-fly training workflow. Thispotential is used to simulate the thermal reduction of a large-scale GO structuralmodel, revealing the dynamic transformation into reduced graphene oxide (rGO).The resulting rGO structure, which is cybotactic in nature and features pores andembedded oxygen functional groups, shows excellent agreement with experimentalobservations, a conclusion supported by simulated X-ray photoelectron spectroscopy(XPS) that matches experimental spectra.Finally, the GO-MACE-23 potential is applied to investigate the structure-propertyrelationships governing the mechanical behaviour of GO and rGO. Uniaxial strainsimulations reveal that the mechanical response is highly dependent on the type anddistribution of oxygen functional groups. Structures rich in epoxide groups exhibita more plastic response, while hydroxyl-rich structures are more brittle, providingkey insights for designing functionalised graphene materials with tailored mechanicalproperties for applications in flexible electronics and composite reinforcement.Collectively, this work demonstrates the power of machine learning in advancingour fundamental understanding of amorphous materials, providing not only newstructural insights but also robust computational tools for the predictive design ofnext-generation carbon-based technologies.",MPLS,Chemistry
Wong_2025_Synthesis_of_Novel,"S(VI) based moieties exhibit promising pharmacological properties, and are present in over 150 FDAapproved drugs currently available on the market. In this thesis, a variety of vinyl sulfonimidamides weresynthesised and evaluated for their potential as bioisosteres of acrylamides. Furthermore, a novelmethodology for the synthesis of rarely reported iminosulfamides was developed, employing a Lewis-acidmediated SuFEx amination system. The method enabled access to a broad variety of iminosulfamidederivatives with different amidic components.Chapter 1 is a review introducing S(VI) functionalities, focusing on current synthetic strategies used foraccessing sulfonamides, sulfonimidamides, sulfamides and iminosulfamides. The properties andapplication of these compounds are also described.Chapter 2 focuses on the synthesis of NH vinyl sulfonimidamides, through a single-step from an aryl-ONSO reagent, a vinyl organometallic, and an appropriate amine. These vinyl sulfonimidamides haveshown good reactivity towards cysteine and lysine derived nucleophiles, and the electrophilicity of thesereagents can be modulated by choice of the imidic N-substituents and alkene substituents to achievereactivity either above or below the corresponding acrylamide.Chapter 3 describes a general and practical approach for synthesising a variety of sulfuramidimidoylfluorides, through a key elimination/fluorination process using sulfonimidamide substrates. With theinstallation of electron withdrawing pivaloyl group, the reactivity of the S(VI) fluoride was enhanced, anda mild SuFEx amination reaction allowed the access to a wide variety of iminosulfamides, which werepreviously considered synthetically challenging.Chapter 4 summarize the research and discusses potential areas for future work.Chapter 5 provides experimental procedures and data for this research.",MPLS,Chemistry
Heath_2025_Optimising_implant_pegs,"Cementless orthopaedic implants are commonly held in place in the surrounding bone by aninterference fit between fixation geometry and the bone. This fixation geometry often takes the formof a peg. The over-arching aim of this thesis was to use a finite element approach to improve theprimary fixation of an orthopaedic peg which would be applied to a Unicompartmental KneeReplacement (UKR) tibial component. The achievement of this aim was broken into three objectives:To generate an optimised finite element model for the prediction of pull-out force of a peg, which isrelated to primary fixation; To use the model to design an optimal peg for primary fixation; Todevelop a knee simulator that could be used to assess the primary fixation of implants using variouspeg designs under physiological loading, through the measurement of micromotion.A series of material models were compared to determine the most accurate for predicting the pull-out force of a 5.65mm diameter round nose peg in PCF 20 polyurethane foam bone analogue, in theclinically relevant interference range of 0.6mm – 1.2mm. It was found that the most accurate of thesewere plastic hardening models, specifically the Drucker-Prager and Von-Mises models, with allplastic hardening models tested falling under a ±15% error bound in the interference range 0.6mm –1.2mm. A further study showed that the Drucker-Prager model, with the addition of accuratematerial data and element deletion, benefited most from a uniform structured mesh therebyreducing the simulation error by 7.4%. The final error in the interference range 0.6mm – 1.2mm was5.40% ± 3.15% 95% CI. It was also shown that this model was generalisable to foams of lowerdensities (PCF 12, 15). With accurate material data, the maximum error of 16.07% ± 2.75% 95% CI wasfor PCF 12, and the minimum error of 4.10% ± 2.29% 95% CI was for PCF 15.The developed FEA model was then used to design an optimal peg for primary fixation. This wasdone by initially considering the pressure distribution on the surface of the peg, which was shown tobe highest at midpoint of the peg length for pull-out. A series of nose cone forms were evaluatedusing the FEA model, with an LV Haack nose form being selected due to its relatively mild responseto changing fineness ratio. From experimental validation a 3mm nose length (fineness ratio 1.875)was selected as the optimal nose form for primary fixation. This resulted in an average of ~30%increase in pull-out force in the clinically relevant range compared to a conventional round nose peg,and an average of ~40% increased pull-out force over the whole interference range 0.4mm – 1.6mm.At a lower interference the same primary fixation could be achieved with an estimated ~61%reduction in stress from insertion forces and estimated ~157% factor of safety increase over thecurrent design. The benefit over a round nose peg was an estimated ~18% stress reduction andestimated ~22% factor of safety increase with the new 3mm LV Haack peg.As this new peg would require evaluation under physiological loading for primary fixation in termsof micromotion, a novel UKR simulator was developed and characterised in relation to adisplacement profile input as a first step in addressing this need. The root mean square error (RMS)was calculated between the demand and measured displacement. The machine was shown to have abase (RMS) error under constant vertical load (5N) of 0.48mm ± 4.49*10-3mm 95% CI in the anteriorposterior axis and 5.91deg ± 0.29deg 95% CI in the flexion axis. The error was also characterisedunder altering vertical loading and lubrication conditions. Lubrication was found to be necessary torun the machine at loads greater than 600N. With further development, the machine is hoped to beused to evaluate primary fixation of novel peg designs under dynamic physiologically relevantloading.This thesis has achieved each objective that it set out to achieve. Specifically, a finite element modelhas been developed and optimised. That model was used to design a novel peg, a 3mm LV Haackdesign which sufficiently improved pull-out force production, by ~30%, compared to a conventionalround nose peg at the same interference. Finally, a knee wear simulator was developed andrecommendations were made to allow it to be developed to be capable of measuring micromotion.Future work is needed to validate the peg for clinical applicability. Moreover, the wear simulatorshould be developed further to allow micromotion studies. It is hoped that the contributions of thisthesis will lead to better clinical outcomes for patients.",MSD,NDORMS
Whitehead_2025_Structural_Studies_of,"Influenza viruses cause an estimated 3-5 million severe cases of contagiousrespiratory disease and regularly lead to up to 650,000 deaths annually according tothe World Health Organisation, posing a significant burden to global public healthsystems. Despite decades of research, our structural understanding of key viralcomponents remains incomplete. Central to the viral lifecycle is the transcription andreplication of the segmented negative sense viral RNA genome, packaged into the viralribonucleoprotein complex (vRNP). The vRNP comprises one copy of viral RNAcorresponding to one genome segment, one copy of the heterotrimeric influenzapolymerase complex, and multiple copies of the viral nucleoprotein. Thenucleoprotein serves the dual purpose of protecting viral RNA from host immunerecognition, while also facilitating genome transcription and replication, making itboth essential for viral function and a prime target for the host innate immuneresponse.The mode of RNA and immune factor binding to the nucleoprotein remains structurallyunresolved. Further, despite significant e^ort both in this laboratory and in others, thenative structure of the vRNP remains unknown.During this DPhil, I have aimed to answer these questions using biochemical,biophysical, and structural techniques. In this thesis, I present the structure of apreviously-unsolved avian influenza A virus nucleoprotein using cryo-electronmicroscopy single particle analysis. I biochemically and biophysically characterise theinteraction of two human innate immune factors with susceptible avian influenza Avirus nucleoproteins and show that the interaction of these immune factors isselective for avian strains. I describe novel approaches to solving vRNP structure, amethod of coating influenza virus vRNPs with binding factors of interest, and presenta low-resolution 3D reconstruction of the vRNP.The findings presented in this thesis advance our understanding of influenza virusarchitecture, host-pathogen interactions, and demonstrate the successful applicationof a number of structural techniques to the study of structural virology.",MSD,NDM
Johnson_2025_Exploring_the_role,"Primary cilia are essential organelles in skeletogenesis, with key roles in chondrogene-sis, osteogenesis and limb patterning. The micrometre-scale size and delicate structureof primary cilia poses a signiﬁcant challenges to their in vivo analysis, particularly, forexample, within the matrix rich, dense but also dynamic environment of the growthplate. In this project, I developed and applied a high-resolution 3D imaging andanalysis pipeline to characterise primary cilia organisation in the postnatal murinegrowth plate. Using endogenous ﬂuorescent reporters and semi-automated imageanalysis, I quantitatively mapped cilia prevalence, orientation, length and basalbody positioning across thousands of chondrocytes from multiple anatomical regions.These data revealed spatial patterns in cilia organisation, particularly in the restingzone of the middle of the growth plate, implying local micro-environmental inﬂuences.To investigate the functional relevance of these patterns, I examined how geneticdeletion of Ift88 and mechanical unloading a!ect ciliary structure and growth platearchitecture. Both Ift88 deletion and limb o""oading resulted in tibial growthplate shortening accompanied by subtle reductions in percentage ciliation in thehypertrophic zone. These did not arise with changes in cilia length or orientation,raising questions about the relationship between ciliary morphology and function.My ﬁndings, combined with other studies in the literature, suggest that primarycilia may integrate spatial and mechanical cues in a context-dependent mannerand highlight the need for further research into the molecular mechanisms linkingcilia structure to tissue-level outcomes.I then described the further development of an in vitro osteochondral model,incorporating a BMP-2 gradient and mechanical loading to assess cilia-mediatedresponses in a controlled bioengineered context. Adipose-derived murine mesenchymalstem cells and costal chondrocytes were used as a chondroprogenitor source in orderto exploit the genetic tools available in mouse lines, such as conditional Ift88 deletion.Although di!erentiation of mouse MSCs proved di#cult, the system demonstratedthe feasibility of generating a spatially patterned growth factor gradient in vitro andapplying mechanical loading, o!ering a promising framework for further reﬁnement.Together, this work combines in vivo and in vitro approaches to advance our under-standing of primary cilia in skeletal development and provides methodological plat-forms for future research in cartilage biology mechanotransduction and ciliopathies.",MSD,NDORMS
